lcc_code,lcc_subject
JJ,Political institutions and public administration (North America)
JK,Political institutions and public administration (United States)
JL,"Political institutions and public administration (Canada, Latin America, etc.)"
JN,Political institutions and public administration (Europe)
JQ,"Political institutions and public administration (Asia, Africa, Australia, Pacific Area, etc.)"
JS,Local government. Municipal government
JV,Colonies and colonization. Emigration and immigration. International migration
JX,"International law, see JZ and KZ (obsolete)"
JZ,International relations
K,Law
KB,Religious law in general. Comparative religious law. Jurisprudence
KBM,Jewish law
KBP,Islamic law
KBR,History of canon law
KBS,Canon law of Eastern churches
KBT,Canon law of Eastern Rite Churches in Communion with the Holy See of Rome
KBU,Law of the Roman Catholic Church. The Holy See
KD/KDK,United Kingdom and Ireland
KDZ,America. North America
KE,Canada
KF,United States
KG,"Latin America,Mexico and Central America,West Indies. Caribbean area"
KH,South America
KJ-KKZ,Europe
KL-KWX,"Asia and Eurasia, Africa, Pacific Area, and Antarctica"
KU/KUQ,Law of Australia and New Zealand
KZ,Law of nations
L,Education
LA,History of education
LB,Theory and practice of education
LC,Special aspects of education
LD,"Individual institutions,United States"
LE,"Individual institutions,America (except United States)"
LF,"Individual institutions,Europe"
LG,"Individual institutions,Asia, Africa, Indian Ocean islands, Australia, New Zealand, Pacific islands"
LH,College and school magazines and papers
LJ,"Student fraternities and societies, United States"
LT,Textbooks
M,Music
ML,Literature on music
MT,Instruction and study
N,Visual arts
NA,Architecture
NB,Sculpture
NC,Drawing. Design. Illustration
ND,Painting
NE,Print media
NK,Decorative arts
NX,Arts in general
P,Language and Literature
PA,Greek language and literature. Latin language and literature
PB,Modern languages. Celtic languages and literature
PC,Romanic languages
PD,Germanic languages. Scandinavian languages
PE,English language
PF,West Germanic languages
PG,Slavic languages and literatures. Baltic languages. Albanian language
PH,Uralic languages. Basque language
PJ,Oriental languages and literatures
PK,Indo-Iranian languages and literatures
PL,"Languages and literatures of Eastern Asia, Africa, Oceania"
PM,"Hyperborean, Native American, and artificial languages"
PN,Literature 
PQ,"French literature,Italian literature,Spanish literature,Portuguese literature"
PR,English literature
PS,American literature
PT,"German literature,Dutch literature,Flemish literature since 1830,Afrikaans literature -Scandinavian literature,Old Norse literature: Old Icelandic and Old Norwegian,Modern Icelandic literature,Faroese literature,Danish literature,Norwegian literature,Swedish literature"
PZ,Fiction and juvenile belles lettres
Q,Science
QA,Mathematics
QB,Astronomy
QC,Physics
QD,Chemistry
QE,Geology
QH,"Natural history,Biology"
QK,Botany
QL,Zoology
QM,Human anatomy
QP,Physiology
QR,Microbiology
R,Medicine
RA,Public aspects of medicine
RB,Pathology
RC,Internal medicine
RD,Surgery
RE,Ophthalmology
RF,Otorhinolaryngology
RG,Gynecology and Obstetrics
RJ,Pediatrics
RK,Dentistry
RL,Dermatology
RM,Therapeutics. Pharmacology
RS,Pharmacy and materia medica
RT,Nursing
RV,"Botanic, Thomsonian, and Eclectic medicine"
RX,Homeopathy
RZ,Other systems of medicine
S,Agriculture
SB,Horticulture. Plant propagation. Plant breeding
SD,Forestry. Arboriculture. Silviculture
SF,Animal husbandry. Animal science
SH,Aquaculture. Fisheries. Angling
SK,Hunting
T,Technology
TA,Engineering Civil engineering .
TC,Hydraulic engineering. Ocean engineering
TD,Environmental technology. Sanitary engineering
TE,Highway engineering. Roads and pavements
TF,Railroad engineering and operation
TG,Bridges
TH,Building construction
TJ,Mechanical engineering and machinery
TK,Electrical engineering. Electronics. Nuclear engineering
TL,Motor vehicles. Aeronautics. Astronautics
TN,Mining engineering. Metallurgy
TP,Chemical technology
TR,Photography
TS,Manufacturing engineering. Mass production
TT,Handicrafts. Arts and crafts
TX,Home economics
U,Military Science
UA,"Armies: Organization, distribution, military situation"
UB,Military administration
UC,Military maintenance and transportation
UD,Infantry
UE,Cavalry. Armor
UF,Artillery
UG,Military engineering. Air forces
UH,Other military services
V,Naval Science
VA,"Navies: Organization, distribution, naval situation"
VB,Naval administration
VC,Naval maintenance
VD,Naval seamen
VE,Marines
VF,Naval ordnance
VG,Minor services of navies
VK,Navigation. Merchant marine
VM,Naval architecture. Shipbuilding. Marine engineering
Z,"Bibliography, Library Science"
ZA,Information resources/materials
